theme,support,baseline_f1,effnet_f1,f1_improvement
Minecraft,38,0.0,0.6862745098039216,0.6862745098039216
Friends,114,0.1111111111111111,0.6586826347305389,0.5475715236194278
Duplo,131,0.0289855072463768,0.5879629629629629,0.5589774557165861
Super Mario,40,0.0,0.5416666666666666,0.5416666666666666
City,297,0.2280230326295585,0.518,0.28997696737044154
Belville,15,0.0,0.4827586206896552,0.4827586206896552
Star Wars,210,0.2098688319800125,0.4745341614906832,0.26466532951067073
Ninjago,154,0.0,0.4724137931034483,0.4724137931034483
Games,20,0.0,0.4615384615384615,0.4615384615384615
Town,106,0.0,0.4024640657084189,0.4024640657084189
Fabuland,13,0.0,0.3466666666666667,0.3466666666666667
Castle,67,0.0,0.3296703296703296,0.3296703296703296
Harry Potter,86,0.02,0.3178807947019867,0.2978807947019867
Disney,60,0.0,0.2803234501347709,0.2803234501347709
Collectable Minifigures,128,0.0,0.2638190954773869,0.2638190954773869
