threshold,val_micro_f1,val_macro_f1,avg_predicted_labels_per_example
0.01,0.04387487206870467,0.04459022395473106,46.1942
0.02,0.0472945737922033,0.04980489930410228,42.761246
0.05,0.05522092866453904,0.061816642805992424,36.3678
0.08,0.062272132522008666,0.07230931453943658,32.05128
0.1,0.06675505378401651,0.0784881224909921,29.715847
0.12,0.07116208980117336,0.08431343832492572,27.693148
0.15,0.07801498429066302,0.09291949659073981,25.050861
0.2,0.08952038638661125,0.10667785443515695,21.416142
0.25,0.10273868638463039,0.12101293510966671,18.347204
0.3,0.11592331379755637,0.13405042395993433,15.888609
0.4,0.14726452709327406,0.16445444933404,11.823875
0.5,0.18540928342985566,0.19828198368296962,8.688105
