theme,positive_count,negative_count,pos_weight
Adventurers,34,11068,325.52942
Cars,36,11066,307.3889
Basic,36,11066,307.3889
Teenage Mutant Ninja Turtles,40,11062,276.55
Indiana Jones,40,11062,276.55
Elves,45,11057,245.7111
The Hobbit,45,11057,245.7111
Hidden Side,46,11056,240.34782
The LEGO Movie,52,11050,212.5
Dimensions,54,11048,204.59259
The LEGO Movie 2,55,11047,200.85454
Racers,56,11046,197.25
Explore,56,11046,197.25
Fabuland,62,11040,178.06451
The LEGO Batman Movie,66,11036,167.21213
The LEGO Ninjago Movie,69,11033,159.89854
Advanced models,73,11029,151.0822
Games,79,11023,139.53165
Trains,85,11017,129.61177
Dreamzzz,86,11016,128.09302
Belville,88,11014,125.15909
Miscellaneous,93,11009,118.37634
Jurassic World,97,11005,113.453606
Juniors,97,11005,113.453606
Creator Expert,102,11000,107.84314
Pirates,104,10998,105.75
Speed Champions,104,10998,105.75
Nexo Knights,108,10994,101.796295
Legends of Chima,117,10985,93.888885
Creator,117,10985,93.888885
Space,117,10985,93.888885
Monkie Kid,131,10971,83.74809
Gear,146,10956,75.0411
Sports,152,10950,72.039474
Seasonal,154,10948,71.09091
Super Mario,157,10945,69.71338
Minecraft,174,10928,62.804596
Dacta,179,10923,61.022346
BrickLink,189,10913,57.74074
Promotional,190,10912,57.43158
Ideas,199,10903,54.788944
DC Comics Super Heroes,202,10900,53.960396
Icons,214,10888,50.878506
Disney,271,10831,39.96679
Education,311,10791,34.69775
Castle,336,10766,32.041668
Harry Potter,444,10658,24.004505
Marvel Super Heroes,481,10621,22.081081
Town,487,10615,21.796715
Collectable Minifigures,536,10566,19.712687
Duplo,578,10524,18.207613
Ninjago,630,10472,16.622223
Friends,632,10470,16.566456
Star Wars,1054,10048,9.533207
City,1392,9710,6.9755745
